&#xE7E8;-见
&#xE941;-高
&#xE79D;-然
&#xED7C;-还
&#xEA04;-对
&#xE10E;-什
&#xECB1;-心
&#xEDA9;-史
&#xEEE3;-用
&#xE14E;-看
&#xE419;-学
&#xE45C;-体
&#xEAF9;-那
&#xEBE6;-少
&#xEEAB;-开
&#xE1C2;-经
&#xEA10;-只
&#xEC64;-教
&#xEE95;-有
&#xE31A;-关
&#xE133;-外
&#xE47C;-话
&#xE848;-思
&#xE8E1;-后
&#xEB2C;-声
&#xE3BF;-被
&#xE4D7;-以
&#xE9F4;-却
&#xE8BE;-子
&#xE812;-作
&#xE0F7;-门
&#xE571;-事
&#xE533;-囗
&#xE81A;-身
&#xE781;-最
&#xE15B;-向
&#xE3EF;-全
&#xED9E;-为
&#xE8D5;-道
&#xECF3;-神
&#xE20E;-笑
&#xE935;-义
&#xE077;-国
&#xE26D;-点
&#xECB6;-写
&#xE1E8;-与
&#xEEFE;-大
&#xE5FD;-死
&#xE5B8;-想
&#xE41B;-真
&#xE650;-由
&#xEB93;-里
&#xEB2A;-部
&#xE0CD;-把
&#xEDC7;-别
&#xEFA6;-并
&#xE6EE;-将
&#xECAC;-知
&#xE916;-多
&#xE0C6;-个
&#xE610;-这
&#xE016;-发
&#xEE39;-更
&#xED0C;-好
&#xE4B3;-再
&#xE4A0;-两
&#xEC72;-出
&#xE8E7;-成
&#xE589;-定
&#xE6BA;-论
&#xE8CB;-问
&#xE22D;-种
&#xEEDE;-化
&#xE798;-特
&#xEDE4;-上
&#xE491;-生
&#xE227;-可
&#xEA6B;-和
&#xE125;-头
&#xE037;-正
&#xE26A;-太
&#xE845;-我
&#xE903;-西
&#xE5AD;-主
&#xEC5F;-样
&#xECA7;-间
&#xEA8E;-己
&#xE482;-要
&#xE300;-女
&#xE31C;-小
&#xE182;-儿
&#xEFD8;-方
&#xE216;-书
&#xE344;-就
&#xE80E;-感
&#xE391;-相
&#xE16F;-实
&#xE0C2;-几
&#xE441;-新
&#xEFC5;-世
&#xE696;-一
&#xE7D0;-先
&#xE42C;-白
&#xE927;-来
&#xEBE2;-等
&#xE939;-年
&#xEF91;-家
&#xEBF0;-文
&#xE920;-是
&#xE884;-如
&#xE817;-时
&#xEF8B;-又
&#xE94E;-得
&#xEE69;-行
&#xE7F9;-面
&#xEB12;-所
&#xE68E;-也
&#xEF11;-动
&#xE840;-他
&#xE962;-者
&#xE991;-人
&#xEA94;-过
&#xE5BF;-自
&#xEFE4;-说
&#xE308;-社
&#xE450;-其
&#xEA5C;-中
&#xE379;-地
&#xE8F2;-四
&#xE978;-起
&#xED2E;-本
&#xE532;-天
&#xE783;-无
&#xEEAA;-代
&#xEBFA;-能
&#xEE36;-明
&#xECD0;-便
&#xE51F;-重
&#xE8B7;-意
&#xE17C;-没
&#xE804;-不
&#xEB03;-眼
&#xE8AF;-已
&#xED6C;-力
&#xEB5C;-于
&#xE19D;-么
&#xE1B1;-法
&#xE913;-它
&#xE74F;-美
&#xE5C7;-第
&#xE208;-三
&#xE5F7;-气
&#xE87D;-情
&#xEDA5;-很
&#xE54E;-日
&#xE865;-同
&#xE8FD;-走
&#xE1AB;-的
&#xEDD9;-老
&#xE5D6;-现
&#xE37B;-十
&#xED72;-何
&#xE1DD;-此
&#xE4B2;-在
&#xEF5E;-了
&#xE27D;-理
&#xE6F0;-着
&#xE3C9;-前
&#xEFD2;-但
&#xE7C4;-们
&#xEB5A;-性
&#xE1B7;-当
&#xEB0A;-都
&#xE6CC;-公
&#xEF33;-从
&#xE868;-回
&#xE31D;-打
&#xE694;-进
&#xE940;-到
&#xE72B;-果
&#xE752;-二
&#xE2E9;-会
&#xE6B3;-去
&#x78"/;-x
&#xE342;-名
&#xEA05;-而
&#xE9BC;-因
&#xE1E9;-你
&#xEA46;-下
&#xEC10;-物
&#xEE51;-民
&#xE117;-些
&#xEE8D;-手
&#xE30B;-她
&#xE6EC;-使
&#xEACA;-才
&#xE234;-分
&#xECD5;-给
&#xEB3A;-听
&#xE1BE;-长
&#xE6F6;-之
