&#xE03F;-身
&#xE696;-世
&#xED8F;-他
&#xEE52;-自
&#xE91F;-事
&#xEF80;-现
&#xE514;-下
&#xE4D8;-特
&#xE9DC;-而
&#xE3EF;-她
&#xEEEA;-义
&#xE544;-之
&#xE4D3;-开
&#xE17E;-别
&#xEA28;-们
&#xE8DA;-己
&#xECC1;-二
&#xEA3B;-感
&#xE54E;-间
&#xE206;-文
&#xE86B;-儿
&#xED16;-用
&#xE429;-听
&#xE478;-为
&#xE29B;-与
&#xE4F0;-了
&#xEA50;-法
&#xE07A;-果
&#xEC35;-学
&#xE424;-时
&#xE4B9;-道
&#xE5CA;-女
&#xE542;-书
&#xE606;-便
&#xEB8C;-当
&#xEEED;-很
&#xE99F;-成
&#xE216;-不
&#xE0D3;-等
&#xE9FB;-的
&#xE166;-美
&#xE927;-看
&#xE24E;-白
&#xE816;-些
&#xEE47;-作
&#xE3BA;-年
&#xE3A1;-方
&#xE907;-给
&#xEDCA;-回
&#xE8F7;-门
&#xEBAA;-然
&#xE46B;-所
&#xEA9B;-由
&#xE28C;-神
&#xEDB5;-物
&#xE693;-理
&#xE2C6;-手
&#xE98F;-说
&#xE526;-体
&#xE8E4;-后
&#xEC41;-主
&#xEAE4;-看
&#xE3A8;-问
&#x78"/;-x
&#xEBBB;-面
&#xEEBD;-发
&#xEDA2;-被
&#xEB98;-太
&#xEFC5;-明
&#xEC5F;-头
&#xEACB;-国
&#xE7EA;-史
&#xEB84;-只
&#xEAE9;-于
&#xE37C;-什
&#xE2C4;-那
&#xE893;-囗
&#xE3FB;-经
&#xEE13;-四
&#xEA91;-最
&#xE7DE;-有
&#xEC1A;-么
&#xE2D1;-你
&#xE768;-教
&#xE19C;-动
&#xEABE;-并
&#xECF5;-这
&#xE561;-多
&#xECF6;-何
&#xE632;-但
&#xE6A2;-见
&#xE212;-以
&#xE325;-此
&#xEC86;-两
&#xE3C9;-关
&#xE0EB;-里
&#xEADC;-也
&#xEACE;-我
&#xE1C0;-老
&#xE170;-写
&#xEAC7;-走
&#xE304;-起
&#xECEF;-再
&#xE99E;-还
&#xEDC6;-从
&#xE18C;-思
&#xE799;-实
&#xEB62;-笑
&#xE7F0;-小
&#xE1CF;-已
&#xED07;-打
&#xEAD0;-将
&#xEA30;-却
&#xE09B;-化
&#xEFF2;-家
&#xE49D;-人
&#xE5FE;-去
&#xEF3F;-本
&#xE134;-都
&#xEF51;-正
&#xE819;-先
&#xEE28;-几
&#xEA77;-和
&#xEF34;-声
&#xE41D;-部
&#xEBD6;-十
&#xE54A;-高
&#xECCC;-三
&#xE415;-公
&#xE47C;-力
&#xE2D2;-生
&#xE042;-日
&#xEE6D;-又
&#xED1F;-第
&#xEFC9;-其
&#xEDDF;-到
&#xEACD;-代
&#xE7AD;-如
&#xEDB0;-中
&#xE0D0;-子
&#xEDBE;-知
&#xE838;-新
&#xE452;-同
&#xE41C;-分
&#xE295;-论
&#xE12E;-会
&#xEFA3;-更
&#xEF9B;-才
&#xEFC2;-种
&#xE854;-情
&#xED55;-性
&#xEF8D;-得
&#xE859;-上
&#xEA0A;-进
&#xEDB2;-天
&#xEA73;-真
&#xE300;-因
&#xE70B;-外
&#xEC5D;-向
&#xEBE4;-想
&#xE9B8;-没
&#xE817;-重
&#xE556;-来
&#xEA5A;-把
&#xEE49;-能
&#xEAF4;-气
&#xECEE;-长
&#xE0F1;-无
&#xE52D;-在
&#xEE99;-心
&#xE633;-社
&#xE2D0;-就
&#xE74D;-相
&#xE439;-可
&#xEA4A;-民
&#xE193;-少
&#xE4A5;-全
&#xE6D1;-大
&#xE3FC;-对
&#xE886;-要
&#xE443;-个
&#xEC9A;-点
&#xE999;-话
&#xE4F5;-使
&#xE8A0;-过
&#xE5B3;-是
&#xE272;-一
&#xEC93;-好
&#xE42D;-前
&#xE459;-样
&#xED1D;-它
&#xE497;-眼
&#xE256;-意
&#xE264;-地
&#xE238;-出
&#xE5EB;-名
&#xE35A;-者
&#xE818;-定
&#xEA00;-行
&#xE4A8;-死
&#xECA9;-西
