&#xEBD1;-想
&#xE2E1;-外
&#xE413;-身
&#xE32C;-笑
&#xE949;-心
&#xE6BB;-给
&#xE771;-种
&#xEBBC;-少
&#xEC39;-回
&#xEAE7;-来
&#xE0CF;-关
&#xEFE0;-四
&#xE3B7;-将
&#xEB91;-小
&#xE512;-己
&#xE946;-面
&#xE970;-因
&#xE40F;-先
&#xE8EA;-好
&#xEE44;-见
&#xE7E0;-白
&#xE706;-最
&#xE695;-如
&#xED20;-太
&#xECB2;-二
&#xED9A;-我
&#xEE16;-之
&#xE2BE;-行
&#xEFE6;-只
&#xE756;-囗
&#xE03E;-都
&#xED88;-就
&#xEEA9;-分
&#xED87;-文
&#xE014;-却
&#xE387;-很
&#xEFB9;-相
&#xE2F2;-生
&#xE2E4;-子
&#xEA9E;-得
&#xE566;-而
&#xE1DC;-么
&#xE2F9;-头
&#xED1B;-那
&#xE849;-体
&#xE97D;-无
&#xE3FE;-地
&#xEFFD;-在
&#xE2C5;-间
&#xE3CC;-国
&#xE08F;-同
&#xE415;-一
&#xEBE5;-公
&#xE65C;-你
&#xEE73;-物
&#xE43B;-名
&#xE2C3;-十
&#xE7E2;-们
&#xE8C3;-走
&#xE565;-个
&#xE61C;-西
&#xEF5E;-世
&#xEE9B;-它
&#xE2B7;-下
&#xE5D4;-于
&#xE797;-眼
&#xE87C;-现
&#xEBF3;-论
&#xEFB2;-由
&#xEEFD;-经
&#xEE02;-死
&#xEF3B;-再
&#xEB1E;-才
&#xE801;-正
&#xEAFF;-他
&#xE251;-样
&#xE5D1;-定
&#xE633;-已
&#xE963;-美
&#xE6D0;-点
&#xE98F;-从
&#xEC9F;-儿
&#xE28F;-人
&#xE635;-便
&#xE1E1;-写
&#xE723;-然
&#xEFC7;-自
&#xE05A;-前
&#xE00C;-事
&#xEB3E;-些
&#xE384;-说
&#xE969;-要
&#xECCE;-义
&#xEA6E;-两
&#xE898;-没
&#xE3FC;-也
&#xEE27;-者
&#xE101;-可
&#xE087;-不
&#xE601;-三
&#xE59E;-第
&#xE92F;-本
&#xEFB8;-几
&#xE247;-并
&#xE020;-这
&#xE2F6;-还
&#xE167;-以
&#xEC11;-了
&#xEFA9;-和
&#xE3FB;-果
&#xEB78;-高
&#xE573;-与
&#xE301;-天
&#xE7C3;-打
&#xEF57;-书
&#xE372;-意
&#xE824;-动
&#xE543;-问
&#xE67D;-民
&#xE0D1;-教
&#xE802;-知
&#xE7AE;-理
&#xE1AF;-会
&#x78"/;-x
&#xECAC;-发
&#xEBD6;-道
&#xE455;-把
&#xE31F;-法
&#xE7C0;-重
&#xEEBE;-女
&#xE456;-手
&#xE79F;-听
&#xE8CD;-用
&#xE076;-去
&#xEE40;-老
&#xE8F1;-话
&#xECBA;-过
&#xE6BE;-有
&#xEB24;-着
&#xE3A2;-感
&#xE117;-作
&#xECDA;-又
&#xEFF6;-情
&#xEFBF;-向
&#xEB40;-成
&#xEB5C;-被
&#xE52B;-她
&#xE499;-实
&#xE463;-长
&#xE9D0;-出
&#xEA82;-的
&#xEB50;-使
&#xEAD2;-何
&#xEDC0;-开
&#xECE4;-全
&#xE8A0;-上
&#xE397;-代
&#xE366;-此
&#xECFA;-什
&#xE63E;-方
&#xEA31;-明
&#xE17C;-起
&#xEC99;-能
&#xE8A6;-所
&#xEB75;-神
&#xE90D;-部
&#xED5F;-真
&#xE606;-是
&#xE626;-新
&#xEE03;-多
&#xE84C;-思
&#xEB3C;-化
&#xEED6;-家
&#xEA30;-当
&#xE3ED;-对
&#xE27D;-特
&#xE254;-为
&#xE477;-社
&#xEE8A;-别
&#xE2E2;-其
&#xEFE2;-到
&#xE30D;-但
&#xE126;-主
&#xE3EA;-日
&#xE50F;-学
&#xE15E;-年
&#xE3DC;-史
&#xED16;-更
&#xE7E9;-时
&#xE8BC;-声
&#xE6A2;-大
&#xE170;-气
&#xEC42;-中
&#xE903;-后
&#xE9C7;-里
&#xE164;-等
&#xEE69;-力
&#xE11A;-门
&#xEC9D;-性
&#xE693;-看
&#xE659;-进
