&#xE582;-因
&#xEFE9;-而
&#xE949;-没
&#xE16F;-然
&#xE228;-种
&#xE9D7;-生
&#xE522;-可
&#xE486;-使
&#xE99C;-儿
&#xEDB6;-点
&#xE572;-下
&#xEDE8;-名
&#xE879;-问
&#xE904;-里
&#xE93C;-代
&#xEEDF;-少
&#xEDE2;-别
&#xE167;-成
&#xECCD;-么
&#xE8A3;-教
&#xE53F;-外
&#xEAA6;-他
&#xE024;-如
&#xE26A;-那
&#xE562;-有
&#xE833;-不
&#xE6AC;-着
&#xECA4;-已
&#xEB67;-却
&#xE678;-重
&#xE423;-先
&#xE5FB;-学
&#xEB14;-主
&#xE89F;-义
&#xE863;-正
&#xEA9B;-会
&#xED3C;-才
&#xE5DC;-真
&#xE1F4;-向
&#xE909;-开
&#xE6DC;-部
&#xE0A8;-中
&#xE70A;-面
&#xE63A;-同
&#xE327;-体
&#xE2B1;-并
&#xEBE3;-笑
&#xE86E;-能
&#xEA29;-力
&#xEDB4;-长
&#xEE1D;-看
&#xE82B;-化
&#xEC4F;-方
&#xE3B6;-去
&#xE9B7;-关
&#xEE53;-大
&#xE685;-法
&#xEF9B;-要
&#xE4B0;-又
&#xEEE2;-给
&#xE9E8;-者
&#xE982;-你
&#xE473;-太
&#xEBB8;-后
&#xE83B;-公
&#xE9AC;-由
&#xEA68;-是
&#xEB13;-其
&#xE4B1;-四
&#xE465;-很
&#xEC08;-此
&#xE743;-身
&#xE413;-书
&#xED68;-情
&#xE847;-社
&#xE30C;-这
&#xE1A1;-眼
&#xEB2F;-相
&#xE101;-道
&#xEBF0;-们
&#xE203;-想
&#xE34C;-明
&#xEC36;-前
&#xEDC3;-子
&#xEEFF;-等
&#xED0E;-论
&#xEE18;-全
&#xE17A;-感
&#xEC47;-进
&#xE10D;-地
&#xE65C;-只
&#xE6F4;-现
&#xE148;-之
&#xEABC;-经
&#xEDD4;-世
&#xE2E7;-思
&#xEE3B;-特
&#xE61B;-己
&#xEE9E;-回
&#xE398;-多
&#x78"/;-x
&#xE017;-年
&#xE40D;-把
&#xE11B;-囗
&#xE61F;-个
&#xE1BB;-动
&#xEA00;-说
&#xE477;-更
&#xE50C;-家
&#xE769;-出
&#xE4AE;-话
&#xEEB0;-见
&#xEF8F;-物
&#xE391;-分
&#xEC6B;-过
&#xE0AD;-从
&#xE51C;-最
&#xEEA2;-还
&#xE85C;-第
&#xE9EF;-日
&#xE3A7;-为
&#xE60F;-作
&#xEC34;-再
&#xEF85;-走
&#xE20A;-门
&#xE642;-老
&#xE04A;-用
&#xE14D;-什
&#xE4D8;-头
&#xE9B4;-文
&#xEE79;-些
&#xEAC2;-我
&#xE0BB;-何
&#xE835;-西
&#xE70D;-手
&#xE974;-高
&#xE97A;-时
&#xEC3D;-两
&#xE75C;-和
&#xEF88;-气
&#xEDAB;-到
&#xEEE9;-了
&#xE7A1;-间
&#xEA18;-三
&#xE30B;-几
&#xE472;-十
&#xE446;-死
&#xEED9;-二
&#xE266;-发
&#xEAD0;-一
&#xEEF0;-定
&#xEBFC;-声
&#xEA5E;-样
&#xE5C0;-美
&#xEC39;-得
&#xE9EB;-对
&#xEFC6;-事
&#xEA2F;-于
&#xE405;-心
&#xE3AA;-来
&#xEF9C;-在
&#xE073;-打
&#xEC15;-便
&#xE77E;-所
&#xE5A8;-理
&#xE1D2;-小
&#xE5BB;-写
&#xE41C;-神
&#xEB93;-好
&#xE183;-就
&#xE3A0;-新
&#xE03D;-人
&#xE5F5;-当
&#xE7B9;-她
&#xE3AF;-性
&#xE90F;-女
&#xEE37;-上
&#xEC00;-本
&#xE01A;-都
&#xEAA5;-民
&#xE745;-国
&#xE0E4;-自
&#xE971;-实
&#xEBC4;-与
&#xEEA6;-意
&#xE76C;-果
&#xE520;-它
&#xE095;-白
&#xEFC1;-无
&#xEF31;-也
&#xEA14;-天
&#xEA38;-被
&#xEE8A;-史
&#xE9C0;-行
&#xE8FD;-以
&#xE0F1;-但
&#xEC5E;-起
&#xE4FC;-听
&#xEDBE;-的
&#xE81F;-将
&#xEBB4;-知
